,title,content
18,포인트는 남출도 남출인데 어제 인스타 개설한 원빈이한테도, 뇌절하다 차단당한거긔 커플도 아닌 타출연자한테까지 지랄하다가 차단 당한게 포인트야 
19,저거 아니어도 난 남출인거 알겠던데, 저렇게까지 해야겠노 
20,남출 다이안데 해줌이 왜 질투를 하노ㅋㅋㅋㅋㅋㅋ, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 로이 대가리가 소금에 절여져서 쪼글해졌나ㅋㅋㅋㅋㅋㅋ 
21,남출이 혼자 본인매력이나 외모만으로 뜬게 아니라서, 잘못은 없지만 과몰입러 팍식은 맞잖아 
22,여출 인스타팔로워   퍼가 남출 팔로잉안했긔 그냥 여출좋아하는거긔, 나같은 경우는 여출 좋아하니 남출도 같이 좋아지지만 안그런 사람도 있긔럽스타에 미쳐서 티안내서 싫어하고 이런건 똥냐들 수준망상이긔남출 딱히 싫어하는 여출빠는 없지않나 싶긔여출싫어하는 똥냐같은 사람들이 그냥 남출도 까는척할 뿐이긔 
23,역창놈 화난 이유   남출만 티내고 여출은 가만히 있는게, 역창 세계관인데 여출온냐가 선빵쳐서 화났긔 
24,남출이 직접 고소공지 쎄게 때렸는데도 저지랄하노 ㅋㅋㅋㅋㅋ , 진짜 머단하노 ㅋㅋㅋㅋㅋ 걍 금융치료가 답임                  
25,여출빠는 아무말도 안하는데 똥냐들 왜 남출탓 블라거리노 , 쟤네들 세계관은 참 
26,여출남출이 진짜 비즈니스용 커플이면, ㄹㅇ 투샷 존나 올렸겠지ㅋㅋㅋㅋㅋㅅㅂ   
27,난 남출이 집까지 초대한게  기괴함 , 반얀트리도 그렇고 좀 과시하고싶은것도 있는거 같은데 집까지 초대한건 존나 기괴함  
28,그남출이랑 그남출 전여친이 젤 문제, 얘들은 진짜 친구가 가능하다고 생각하는거야  그럴거면 둘이 만나고 찐가족으로 만들던가 둘다 연애하지말고 친구로 만나던가  각자 애인 바보만들기 챌린지 할거냐긔 방송 현실 구분이 안가나 특히 그남출 전여친 같은 스탈이 친구로 남는다  음식 먹여주고 스킨십 ㅈㄴ자유롭고 단체샷까지 저러는거 정상 아니긔 그여출 배려라곤 없고 개무시가 맞아 현실에 그런애 있음 ㅈㄴ육성으로 욕나감  
29,존나 웃기다 남출여출보고 비즈니스다 망붕장사다 이러면서, 쳐패는데 그 둘은 망붕장사라고 얘기할만한것도 ㄹㅇ 안해서 지들도 예시 못드는게ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
30,아 시발 역창들이 남출 캐해한것만 모아보면 지킬앤하이드 수준임, ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
31,남출은 인스타중독에 여출도 럽스타 하고도 남을, 성격인데 아무것도 없는게 개 싸함  
32,남출이 메달리는 노래라, 개같이 버려짐웅웅 노래좋아로 바뀜 ㅅㅂ뭐노 이게ㅋㅋ 
33,안현커앙망단인데 그 남출 욕 먹을 일은 아님, 이걸로 욕하는건 모쏠 찐따 인증이긔  유사줌이나 유니콘으로 생각했던 줌들은 대가리 깨질듯  이때싶 여출 내려치는 남미새년들 뒤지시고  
34, 년후 남출 예상, 서울대나 이대 피아노과나 무용과 사귐팔로잉 봐도 그쪽 좋아하는 성향 보임 
35,티는 남출이 냈는데 왜, 맨날 여자만 패는지 모르겠네 오영주 임현주만 뒤지게 패는 핱시줌 보는거같아 
36,여기서 그 언냐만 쳐맞았지 언제 남출이 까였노, 엄살 개심해  
37,남출이 언제 티를 냈다는거긔, 전혀 모르겠는데  
38,즌 은 남출 서열질에 ㅈ목 심해서 보기 싫었긔, 민재랑 주휘랑 술처먹고 서열질하고보짱 형수 취급하는거 꼴보기 싫었긔윤  
39,해줌마들 업보긔 그남출 유니콘 만들다가, 상황 존나 이상해짐 이제 그남출 욕도 못할텐데ㅋㅋㅋㅋㅋ 
40,안현커단도 문젠데 남출이 여출 덕질한다 ㅇㅈㄹ도 오글거림, 남미새들 젭알 은꽁언냐한테 느그들 빙의해서 사심채우지 마시긔 
41,그 남출 미는 줌들 제일 기괴한게 그거야 ㅋㅋㅋㅋ, 북정은 빠는 북괴들처럼    은 학벌이 어쩌고 집안이 어쩌고 어디살고 차는 뭐고 그거 줄줄이 읊고다닌다는거ㅋㅋㅋㅋ인간을 좋아하는게아니라 그게 뭐노ㅋㅋㅋ 누가 그거 말해서 보니까 ㄹㅇ 무새짓하고있던데 ㅋㅋㅋ 
42,그남출은 왜이런 럽스타 당당하게 못하노, 같은 현커면서 
43,남출이 현커유지를 비즈니스때문이라는데, 뭐 했는데 ㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋ 커플티를 안내고 숨기는것도 비즈니스냐 ㅋㅋㅋ  
44,그남출은 인싸로 포용 가능한 수준이 아니긔, 방송도 챙겨 봤을 것 같은데 현여친이 어떻게 취급당했는지 보고도 자리에 없는 현여친의 전남친 어깨에 손 올려가며 전여친이랑 같이 신나게 논다는 것부터가 기괴하긔ㅠ 근데 그걸 심지어 피드에 박제까지 한 게 대단하긔 
45,남출이 사진 올려도 여출을 찾고 다른 애들이 사진 올려도 찾고 여출이, 올려도 여출을 찾네 ㅡㅡ사이트 전부 다 그러고 있는 게 병같긔여출은 쉬고 싶어도 쉴 수가 없노 
46,아니 애초에 그 남출 지인이 , 나언이랑은 미련 아예 없다고 입 존나 털고 다녔는데 망상을 왜하노  
47,여출빠나 남출빠나 현생 잘 살면서 사귀는걸 좋아하지, 누가 자아없이 하나부터 백까지 모든걸 다 함께하길 바라노  진짜 저런 사고방식을 갖고있어서 지금까지 개인친목 뜰때마다 안현커 헤어졌다 이랬던것같농   
48,모든 남출들은 해은이를 좋아하지만 현규는 타여출이랑 절대 엮이면 안됨, 이거 딱 여주 이입한 망붕 드줌 감성 
49,그냥 이럴수록 그남출이  수한 이유에만 확신이 가긔, 띠니같았어도 인스타 중독에 쉴틈없이 잦친 사귀었으면 설체교  수해서 가긔 
50,남출 캐해 보면 지도 어이없겠노, 역갤 똥냐 할매들이 지를 희두 원빈이랑 엮으면서 남의 연애를 소취하질 않나서로 즐겜각 잡고 환연 출연한 전여친은 태이 골랐는데도 지한테 목매다는 미련 절절 여자로 취급해놓질 않나 금수저 출신 서울대라 감히 그 여출을 며느리로 인정할 수 없대놓고는 정작 커피 팔으려고 방송뽕 이용한 비즈니스맨 취급을 하질 않나 방송 최커 현커는 안현커로 결론내놓고이제는 돈 때문에 냉터뷰 나가는  인간으로 만들어 놓았긔  
51,그리고 역창들 남출 돈 관련해서도 하나만 하시귀, 금수저라고 빨면서 왜 여출이랑 비즈니스커플 유지해서 버는 푼돈에 집착하는 남자로 캐해하노 
52,역창들이 남출 제일 이상하게 취급한다니까, 까눌레 팔아서 버는 돈을 위해 억지로 가짜커플 연기한다고 ㅏㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
53,남출줌과 남출유사줌은 다르긔, 남출줌은 여출 좋아할수밖에 없긔 싫어할 이유가  도 없긔남출이 좋은데 여출이 싫다  그건 유사줌이긔 
54,  일 지나면 여출이든 남출이든 출연자 모두가, 떡밥 존나 뜰거고 여출줌들도 그냥 행복충될텐데 역창들 모인곳은 진짜 정신병원ㅌㅊ되겠노  지금도 심한데   
55,남출중에 멀쩡한 직업가진거부터가 희두가 젤 낫긴함, 금수저 이런걸 떠나서 자기가 노력해서 국대됬고 하루하루 살아가는 갓반인 루틴이 있잖음                    
56,근데 난 남출이든 여출이든, 찐건 찐거대로 매력있고 말린건 말린거대로 좋은데여출온냐는 모델할거면 말려야 잘나오겠지만남출은 연옌 말고 남친입장으로 보면 그런거 아니면 걍 찌는게 더 나음왠지 여출도 남자로는 등치있는 거 선호할거같음 
57,남출 고소각 재고있을것같노, 지금 한 게이지   퍼 찼을듯 
58,그남 거리면서 남출 패던것도 역갤년이였노, ㅉㅉ 
59,아무리 생각해도 남출이 럽스타 안하고 싶은거 맞아, 직짐남 헝구에서 동태남 된거 보니  개월 다 돼가기도 하고 현커 땅땅과 흔적 남기기 싫은거  
60,여출 남출 하루에 올릴거면 두시간정도 텀 주시긔, 플 너무 난잡해지긔 여출 귀엽다플이었는데 갑자기 호통플됨 
61,동반광고도 아니고 남출이 그냥 따라가준거였노, 웨이보에 뜸 
62,그 남출은 하루종일 인스타만 하나봐, ㅇ 
63,그남출 눈치 있다 느낀게 , 팩할때 희두보고 나연이랑 서로 다시 잘 될려고 하는거 같다고 남들보다  주 늦게 와서는  
64,남출 캐해 지들 맘대로 하는거야 다 아는데, 남출이 자고 일어났다니 티빙 여론 안좋은거 보고 난 다시 올려야지 이런 스타일은 전혀 아니지않노제작진들한테 재확인을 했으면 했지 여론으로만 올릴것같진않음 
65,노력 알긴알겠는데 역챙들도 남출이 찍어준거 알았을걸ㅋㅋㅋㅋ, 그래서 아까 갤 갑분싸됐잖아 ㅋㅋㅋㅋㅋㅋㅋ  
66,어제부터 확실히 느끼는게 여출남출 현커인거  갤보다, 역갤이 더 집착하긔  갤도 그냥 보여준그대로 현빈 태해 빨던데 역갤만 존나 지랄남 
67,남출이 지들사진 인스타에 올리지말라고 부탁한거,  뭔   이랬는데 지금 생각하니까 충분히 할만하노                    
68,난 그 남출이 ㄹㅇ 제일 환연뽕에 취해있는게, 상상도 못했던거라 뭐지 싶음 방송 이미지로는 ㄹㅇ 성숙하고 별 신경안쓰고 걍 갓생 살 것 같았는데 제일 환연뽕 맞음  
69,그남출 분명 방송때는 규민이 이해안간다고, 자기라면  년 만난 사람 상처안입힌다 ㅇㅈㄹ해놓고 지금 찐친된거봐 ㅋㅋㅋㅋ 스탠스의 변화 보면 모르겠노 자적자    찐친 ㅇㅇ 한여자두고 전남친 현남친 관계가 절대 저런 좆목은 못한다 ㅌㅋㅋㅋ  
70,수지띠니는 비계풀고 그남출은 하라지우고, 우연이노  
71,남출이 또  갤 세계관 깨버렸노ㅋㅋㅋ, 누구보다  즐기고 있네 
72,진심 역갤련들보다 찐인줄 알고 이때싶 남출여출, 까질하는 눈새줌들이 더 싫노  
