,date,tweet
56,2022-07-15 ~ 2022-07-16,도파민 중독에겐 금요일이란.. 지락실 윰세 문특 차쥐뿔 환승연애 그리고 그외 유튜버들의 영상들로 뒤덮인 하루..
57,2022-07-15 ~ 2022-07-16,환승연애 술먹으면서 보고 개울었는뎈ㄱㅋㅋㄱ
58,2022-07-15 ~ 2022-07-16,얘들아 환승연애그만보고 떳다더보이즈펴라
59,2022-07-15 ~ 2022-07-16,"이러면 나 본다
빨리 양성애자 환승연애로 바꿔 피디들아 정신차려 수요가 2배라고"
60,2022-07-15 ~ 2022-07-16,"환승연애2 진짜 뭐냐..
더큰대한민국 더큰환승연애"
61,2022-07-15 ~ 2022-07-16,"환승연애 2화 문자 

이현 2표 (X한테)
나연 1표
지연 1표
지수 0표

태이 1표
원빈 1표
민기 1표 (X한테)
규민 1표

남출 이렇게 고르게 받을 일임?"
62,2022-07-15 ~ 2022-07-16,"환승연애2 첫방 기념
환승연애에 내보내고 싶은 드라마 씨피 있다면 인용으로 알려주라 (헤어질 거 같은 씨피 or 헤어지고 다시 만날 거 같은 씨피 or 뭐든)"
63,2022-07-15 ~ 2022-07-16,"연애프로그램중에.. 젤 자극적인거
환승연애..
하트시그널은..그냥너무마음이힘들기만하고
바꿔서데이트하고이런건..유교걸이라받아들여지지가않음..
근데환승연애? 이미헤어졌는데환승을하기위해엑스애인들과다같이모여서서로모르는척하면서환승은안하고울고불고그사람의행복을바라고.."
64,2022-07-15 ~ 2022-07-16,"환승연애도 윰세도 전여친 전남친이 문제로다~~
환승연애 왜 보는지는 알겠습니다요
그치만 난 그저 우리 뱀이 너무 귀엽고 이뻐서 뱀이 언제나오나 기다리면서 보는중.
우리 뱀이 나긋나긋 말을 너무 잘해
뱀이만 나오면 혼자 제일좋아함ㅋㅋㅋㅋㅋㅋ
누가 서로X인지 별로 중요하지않음ㅋㅋㅋㅋ"
65,2022-07-15 ~ 2022-07-16,"진… 짜 미안해요… 제가 환승연애+하트시그널+솔로지옥 etc 
연애 프로그램을 단 하나도… 한 편도… 시청하지를… 않았급ㄴ디다…
이거 설먕 좀 해줄 사람…"
66,2022-07-15 ~ 2022-07-16,아니 환승연애에 왜 익숙한 분이 나오셔... 나 점 충격적
67,2022-07-15 ~ 2022-07-16,"갬성돋는일반인연애프로는못보겠는데
짝이나환승연애같은건왠지견딜수잇음.."
68,2022-07-15 ~ 2022-07-16,"รอๆๆดูน้องแบมในรายการ ""환승연애2 (Romance Transfer)""ค้าบบบบ
.BamBam Romance Transfer
#. 환승연애2_뱀뱀

= เริ่มเทรน 13:45 น.เวลาไทย
 
#WheelsUp #WhoAreYou #SlowMo #BamBam 
@BamBam1A #GOT7 
#IGOT7  @BAMBAMxABYSS"
69,2022-07-15 ~ 2022-07-16,"วันนี้อย่าลืมเรามีเทรนกันนะคะ
BamBam Romance Transfer
#..환승연애2_뱀뱀

#BamBam  #뱀뱀   
@BamBam1A @BAMBAMxABYSS"
70,2022-07-15 ~ 2022-07-16,"แจ้งแฮชแท็กเทรนด์

""환승연애2 (Romance Transfer)""

 BamBam Romance Transfer
 환승연애2_뱀뱀
 เริ่มเทรน 13:45 น.เวลาไทย (15 มิ.ย.2022)

มาร่วมติดแฮชแท็กให้น้องแบมด้วยกันนะคะ
#WheelsUp #SlowMo #WhoAreYou
#BamBam #뱀뱀 #GOT7
@BamBam1A @BAMBAMxABYSS"
71,2022-07-15 ~ 2022-07-16,"잼젠 환승연애 생각
: 출연거부"
72,2022-07-15 ~ 2022-07-16,환승연애2가 시작되었슴이다
73,2022-07-15 ~ 2022-07-16,"ฝากกดอิโมจิ กด recommend ข่าวด้วยนะคะ 
이용진, 역대급 교차 편집에 “이렇게까지 하는 이유 뭐냐” 분통(환승연애2) (출처 : 뉴스엔 | 네이버 TV연예) https://naver.me/xDMQEDws #BamBam @BamBam1A"
74,2022-07-15 ~ 2022-07-16,"""환승연애2 (Romance Transfer)""
BamBam Romance Transfer
#환승연애2_뱀뱀
#BamBam #뱀뱀
@BamBam1A @BAMBAMxABYSS"
75,2022-07-15 ~ 2022-07-16,환승연애에서 해가될까빠지면 서운함
76,2022-07-15 ~ 2022-07-16,게이판 환승연애나 내줘
77,2022-07-15 ~ 2022-07-16,"환승연애,,? 내 연애의 종점은 그대일세 승식^^ 환승따위 없다우.
ㄴ환승연애 안봣슴"
78,2022-07-15 ~ 2022-07-16,아 환승연애 보는데 이진희도 환승연애 포타 생각나서 넘 슬퍼...
79,2022-07-15 ~ 2022-07-16,나도 환혼 잘못썼나봐 했는데 환승연애래 ㄴㅇㄱ
80,2022-07-15 ~ 2022-07-16,"이용진, 역대급 교차 편집에 “이렇게까지 하는 이유 뭐냐” 분통(환승연애2) (출처 : 뉴스엔 | 네이버 TV연예) https://naver.me/xDMQEDws
#WheelsUp #WhoAreYou #SlowMo #BamBam @BamBam1A @BAMBAMxABYSS"
81,2022-07-15 ~ 2022-07-16,"รายการ ""환승연애2 (Romance Transfer)""
 BamBam Romance Transfer
 환승연애2_뱀뱀
 เริ่มเทรน 13:45 น.เวลาไทย
 
#BAMBAM    @BamBam1A @BAMBAMxABYSS"
82,2022-07-15 ~ 2022-07-16,"이용진, 역대급 교차 편집에 “이렇게까지 하는 이유 뭐냐” 분통(환승연애2) (출처 : 뉴스엔 | 네이버 TV연예) https://naver.me/xDMQEDws 
BamBam in Transit Love 2 
#뱀뱀 #BamBam"
83,2022-07-17 ~ 2022-07-18,환승연애 #최현석
84,2022-07-17 ~ 2022-07-18,환승연애 #영필
85,2022-07-17 ~ 2022-07-18,환승연애
86,2022-07-17 ~ 2022-07-18,환승연애 #준규
87,2022-07-17 ~ 2022-07-18,환승연애 #재도
88,2022-07-17 ~ 2022-07-18,환승연애 #서동성
89,2022-07-17 ~ 2022-07-18,환승연애 #태현
90,2022-07-17 ~ 2022-07-18,[정나] 환승연애
91,2022-07-17 ~ 2022-07-18,"220717 와이글로벌 팬싸

환승연애 보다가 승식이 목소리가 나오면

#승식"
92,2022-07-17 ~ 2022-07-18,"얘네가 환승연애2에 나왓더라면 
1화 보자마자 착즙 ㅈㄴ햇을텐데"
93,2022-07-17 ~ 2022-07-18,얘들아(0명) 환승연애 흐물정한 친구들이 너무 재밌게 먹여줬아
94,2022-07-17 ~ 2022-07-18,환승연애 #키탁
95,2022-07-17 ~ 2022-07-18,"환승연애 홍윤

홍지스X윤덩안 
4년 3개월 연애, 
헤어진 지 1년 6개월"
96,2022-07-17 ~ 2022-07-18,"정구가..
밤늦게연락해서 미안한데
혹시 부탁하나 들어줄수있어?
                           뭔부탁 형 후회할짓 하지마
                               나도 형 많이생각나는데 
                                        연락참고있는거야
아니 혹시
환승연애 나갈 생각있냐고
출연료 천만원이래"
97,2022-07-17 ~ 2022-07-18,정해인 환승연애 https://youtube.com/shorts/9_enrbzR1ss?feature=share…
98,2022-07-17 ~ 2022-07-18,아띠박 찬이랑 환승연애하고싶다고? 이게대체뮤슨소리야
99,2022-07-17 ~ 2022-07-18,"환승연애 오프닝 #도영 

그냥 간단하게 만들어봄… 네…"
100,2022-07-17 ~ 2022-07-18,":¨·.·¨:
`·.   환승연애 - #곽윤기 - 들어보세요
 
00:00 ─────── 12:26

      ⇄               ❚❚               ↻"
101,2022-07-17 ~ 2022-07-18,환승연애 #민혁
102,2022-07-17 ~ 2022-07-18,"환승연애 나간 밀큐 같음

이제현은 걍 장꾸이기도 하지만 다정함과 배려가 몸에 베여 있어서 이제 좀 익숙하다 싶어서 다른 사람이랑 하하호호 웃으면서 관계 형성 하는 걸 지창믽이 앞에서 봐버린 거임 이제현 평소에 요리도 귀찮아서 안 해먹는데 다른 놈이랑 같이 요리하면서 웃는 거 보고 개빡침"
103,2022-07-17 ~ 2022-07-18,bg cv 환승연애 찍어주길
104,2022-07-17 ~ 2022-07-18,얼씨구…
105,2022-07-17 ~ 2022-07-18,"에? 와 환승연애 못나가는 이유

오빠 나랑 환승연애 나갈래?? 한회당 1000만원준댕.. 하자마자 울컥해서 너는 우리 관계가 돈으로밖에 생각이 안돼? 보내고 밤새도록 ㅇㅇ이가 환승연애 나가자고 한 의미가 뭘까… 하면서 삽질하느라 출연기회 놓침"
106,2022-07-17 ~ 2022-07-18,환승연애2 남출끼리 셀카찍었대요
107,2022-07-17 ~ 2022-07-18,이쟤횬 망돌그룹에서 연예계인생끝나는줄알고 자기PR용으로판 인스타에 의외로 인플루언서협찬광고 많이들어와서 환승연애 제안도 받으면 어캄? 시즌1에서 뜬애들 얼마전에 주말드라마주연됐다는소식들으면어캄? 전애인들중에 화제성있을만한캐릭터없냐는작가의질문에 개또라이미남1놈만 생각나면어캄?
108,2022-07-17 ~ 2022-07-18,"먼스타엑스 환승연애찍엇음 좋겟다
물론 니들끼리
6명이서
남성끼리"
109,2022-07-17 ~ 2022-07-18,"진짜 환승연애 하고 싶은 사람 고른 것보다
<연애>하고 싶은 사람 고른 거 같아서
심란하다.."
110,2022-07-17 ~ 2022-07-18,"하 아니 환승연애 성젱
둘이 디게 오래 사귄 커플이엇으면 좋겠음 
학생때부터 연애하다가
대학가서도 쭉사귀고
암튼 엄청 오래사귄 커플이엇는데
둘다 권태기 와서
서로에게 소홀해지고 
생각보다 쉽게… 헤어졌는데
환연 나가서 다시만나니까 감정요동치는거 보고싶음…"
111,2022-07-17 ~ 2022-07-18,드라마 씨피들 헤어지고 환승연애 나가면 어떨지 트친들과 토론해보고 싶다
112,2022-07-17 ~ 2022-07-18,"근데 진짜 환승연애를 어떻게 함
같은 노선 찍으면 환승 안됨 걍 돈 더 내는거임
찬버는 걍 연장연애임"
113,2022-07-17 ~ 2022-07-18,"@룡배 환승연애 나가면 
둘이 x일 거 같다는 궁예 1도 없을 거 같음
공개되면젤충격적인커플1위"
114,2022-07-17 ~ 2022-07-18,"서동성... 뭐야?
고집 은근 쎈 남자여서 환승연애 따위에는
죽어도 관심이 없어 보이는데...
얘들아 아니냐?
이 남자는 싫으면 무조건 싫은건데...
본인 선택에 절대 뒤돌아보지 않을 남자인데
어떻게 이게 되냐는거야
대체 어떤 사랑을 하면 이 남자가 환승연애 따위에 나갈 수 있는 건데
그만할게..."
115,2022-07-17 ~ 2022-07-18,"행맨매브 헤어졌는데
늦은밤에 느닷없이 행맨이가 매브한테
연락해서 환승연애 나가자고 할 것 같다
출연료 천만원이라면서 매브 꼬시는 행맨
미친놈이라며 쌍욕박는 매브"
116,2022-07-17 ~ 2022-07-18,환승연애 대체 무슨 프로야?? ㅋㅋㅋㅋㄲㅋㅋ
117,2022-07-17 ~ 2022-07-18,이게 사랑에 빠진게 아니라고?
118,2022-07-17 ~ 2022-07-18,환승연애 원홋 진심 숨 턱 막히지 않나 진심 3년 조금 넘게 만나고 헤어진 지 1년 좀 안 된 상태일 것 같음 전 군은 번역가 호티는 댄서
119,2022-07-17 ~ 2022-07-18,야옛날도시락!!!!니네베스트커플상타고  둘이서떡볶이데이트한걸로도모자라서  이제환승연애까지나가야직성이풀리겟냐!!!!으휴으휴
120,2022-07-17 ~ 2022-07-18,"해어진 정명석이랑 환승연애 나가는 상상 ··· 
- 오빠 잘 지내?
왜 무슨 일인데?
- 다름이 아니라… 환승연애 나갈래? 회당 천만원 준대
유사야… 나 월급이 천만원이 넘어…
- 내 월급은 천만원이 안돼 나가자
정명석 어거지로 끌려나갔다가 온 여성들한테 선택 받는데 올곧게 자기는 유사만 선택함"
121,2022-07-17 ~ 2022-07-18,"오늘 하루 완벽하다
아침에  택시 안 타고 출근햇구
개강 성공적으로 햇구
점심 너무 맛있었구
탑건 재밌었구
저녁 맛있게 먹구 운동도 잘 했구
야식+맥주 완벽한데
환승연애2 개재밋어 아"
122,2022-07-17 ~ 2022-07-18,#솔부 환승연애
123,2022-07-17 ~ 2022-07-18,버떤남자의 호기심의 끝은 띠발 어디임 환승연애도 재밋어서 하고 싶ㄷ?????
124,2022-07-17 ~ 2022-07-18,슬슬 동런 환승연애붐이 올 때가 된 거 같은데... 아닌가...
125,2022-07-17 ~ 2022-07-18,"요즘 연애 프로그램 보고 있는데 환승연애 신태 버전 보고 싶다 ... 처음 만나서 서로 어색하게 ""안녕하세요.."" 하고 인사하지만 눈빛에는 이미 보고 싶었던 마음과 얼굴보게 되서 반가운 두 감정이 섞인 채 그대로 나타나는 둘 
날이 가면 갈수록 상대방에게서 자꾸 서로를 떠올리고"
126,2022-07-17 ~ 2022-07-18,줏대 있게 환승 연애 같은 거 안 할 거다 걔랑 나는 그냥…… 헤어질 바에 안 사귈라고요
127,2022-07-17 ~ 2022-07-18,이 남성의 한때 다짐 후회는 짧게 해.<<였는데 어떤 사랑을 해야 환승연애를 끼발
128,2022-07-17 ~ 2022-07-18,나도 환승연애나 볼까
129,2022-07-17 ~ 2022-07-18,근데 잇잖아... 찬버라는 커플 환승연애 보다는 우결에 더 잘 어울리는 커플 아냐? 한복입ㄱ 나가서 데이트 하는?
130,2022-07-17 ~ 2022-07-18,환승연애가 아니라 돌림연애잖냐
131,2022-07-17 ~ 2022-07-18,"먼스타엑스 환승연애찍엇음 좋겟다
물론 니들끼리
6명이서
남성끼리"
132,2022-07-17 ~ 2022-07-18,"오늘 하루 완벽하다
아침에  택시 안 타고 출근햇구
개강 성공적으로 햇구
점심 너무 맛있었구
탑건 재밌었구
저녁 맛있게 먹구 운동도 잘 했구
야식+맥주 완벽한데
환승연애2 개재밋어 아"
133,2022-07-17 ~ 2022-07-18,#솔부 환승연애
134,2022-07-17 ~ 2022-07-18,버떤남자의 호기심의 끝은 띠발 어디임 환승연애도 재밋어서 하고 싶ㄷ?????
135,2022-07-17 ~ 2022-07-18,슬슬 동런 환승연애붐이 올 때가 된 거 같은데... 아닌가...
136,2022-07-17 ~ 2022-07-18,"요즘 연애 프로그램 보고 있는데 환승연애 신태 버전 보고 싶다 ... 처음 만나서 서로 어색하게 ""안녕하세요.."" 하고 인사하지만 눈빛에는 이미 보고 싶었던 마음과 얼굴보게 되서 반가운 두 감정이 섞인 채 그대로 나타나는 둘 
날이 가면 갈수록 상대방에게서 자꾸 서로를 떠올리고"
137,2022-07-17 ~ 2022-07-18,줏대 있게 환승 연애 같은 거 안 할 거다 걔랑 나는 그냥…… 헤어질 바에 안 사귈라고요
138,2022-07-17 ~ 2022-07-18,이 남성의 한때 다짐 후회는 짧게 해.<<였는데 어떤 사랑을 해야 환승연애를 끼발
139,2022-07-17 ~ 2022-07-18,나도 환승연애나 볼까
140,2022-07-17 ~ 2022-07-18,근데 잇잖아... 찬버라는 커플 환승연애 보다는 우결에 더 잘 어울리는 커플 아냐? 한복입ㄱ 나가서 데이트 하는?
141,2022-07-17 ~ 2022-07-18,환승연애가 아니라 돌림연애잖냐
142,2022-07-17 ~ 2022-07-18,"먼스타엑스 환승연애찍엇음 좋겟다
물론 니들끼리
6명이서
남성끼리"
143,2022-07-17 ~ 2022-07-18,"환승연애
#쿠킹덤에_디즈니_등장
#사랑해_가람 #김가람 #SaveGaram #WeLoveYouGaram
@SOURCEMUSIC @HYBEOFFICIALtwt"
144,2022-07-17 ~ 2022-07-18,"김가람이 폭행에 무죄라는 교육부 공식 공개 증거 있음니다. 벌러 해외 팬들은이 다 알고 있는데 한국 팬들은 왠지 모르고 있습니다.
#김가람 #르세라핌 #SaveGaram #WeLoveYouGaram #KIMGARAM @SOURCEMUSIC @HYBEOFFICIALtwt"
145,2022-07-17 ~ 2022-07-18,"@근데 환승연애 저프로그램의 취지가 뭐야?
환승이별햇는데 미련남은사람들끼리 나와서 같은집에 모아놓고 눈맞으면 와아아 축하합니다 하고 끝나는거임...?

나도이게진짜궁금햇어"
146,2022-07-17 ~ 2022-07-18,환승연애2같이봐주기로하고 매번먼저잠드는연상늙은이여친어때
147,2022-07-17 ~ 2022-07-18,저동성애반대합니다..동성애?그런걸왜하죠..ㅉ진짜말도안되네요..남자끼리환승?연애?머그런걸 왜찍는거죠대체... 진짜 어이가없어서..참나
148,2022-07-17 ~ 2022-07-18,"재노와 환승연애 ... 
생각하고십지도얺다.

조견주이쟤노 (2년 3개월)
헤어진지 7개월째"
149,2022-07-17 ~ 2022-07-18,"얘들아 나 진짜 이런 얘기 하기 싫은데 한번만 할게
엔...잉 남자들 중에서
누가... 환승연애 제일 잘 어울려?
아니 그냥... 성격으로 봤을 때
난 이승협인데....
서동성 차훈이 제일 안 어울리거든...?
근데... 근데... 서동성 환승연애 진짜 맛있다"
150,2022-07-17 ~ 2022-07-18,"1. 방금 동생이 굽네 볼케이노 한 조각 줌 음 마시따~
2. 요즘 환승연애2 재밌게 보는 중~~ 썸프로 존잼ㅠ
3. 요즘 브얄 잘 안들어가는 이유,,, 남친이랑 롤체 티어 올린다고 정신 없음 ,, ㅋㅋㅋㅋ

@codnjsanwhl
@EdelBlyukher
@BBUYA_VRC"
151,2022-07-17 ~ 2022-07-18,"1. 최근 브챗 자주 안들어가는 건 흥미가 떨어진 것도 있고, 우마무스메가 너무 재미있기 때문
2. 자취방 가계약까지 했으니, 다음 주 중으로 정식 계약하고 이사 예정
3. 사람 온기가 그리워지는 시기가 온 것이 꼭 이른 가을 타는 것 같다

@khr000616
@HABI_318
@namunim1 twitter.com/PDetective87/s…"
152,2022-07-17 ~ 2022-07-18,못생긴 아이돌 새끼들로 드럽게 환승연애 합성하네 서치 불편해 죽겠어
153,2022-07-17 ~ 2022-07-18,홍밍.. 환승연애 나가자고 전화하는 여밍이.. 싫다고 거절당함
154,2022-07-17 ~ 2022-07-18,"너 우영우 봐?

아니

너 환승연애봐?

 아니

너 환혼 봐?

아니

너 대체 뭘보는거야?

190811 롯펨콘 마이크드롭 태형 직캠"
155,2022-07-17 ~ 2022-07-18,환승연애 큰문 보고 싶은데 내가 환승연애를 안 봐서 큰문 쓰려고 봐보겠습니다.
156,2022-07-17 ~ 2022-07-18,환승연애?환승연애환승연애훈승연애환승연애훈승연애..
